"idRecipe","nameRecipe","difficulte","prix","quantite","image"
"12","Pancake Moelleux : recette facile","très facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20221027_136756_w150h150c1cx2933cy1783cxb5500cyb3671.webp', 'https:__assets.afcdn.com_recipe_20180413_78569_w150h150c1cx2400cy1600cxb4800cyb3200.webp', 'https:__assets.afcdn.com_recipe_20221013_136166_w150h150c1cx3072cy1728cxb6144cyb3456.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"13","Crème pâtissière","très facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20221007_135812_w150h150c1cx708cy1612cxb1414cyb1953.webp', 'https:__assets.afcdn.com_recipe_20220930_135568_w150h150c1cx1161cy858cxb1920cyb1283.webp', 'https:__assets.afcdn.com_recipe_20180713_80960_w150h150c1cx1944cy2592cxb3888cyb5184.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"14","Meringue : recette facile","très facile","bon marché","20 pièces","['https:__assets.afcdn.com_recipe_20160331_26445_w150h150c1cx1500cy1000.webp', 'https:__assets.afcdn.com_recipe_20170623_69370_w150h150c1cx2000cy3000.webp', 'https:__assets.afcdn.com_recipe_20100120_25181_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"15","Les Timbales de Jeanne (saumon à la mousse de courgettes au micro-ondes)","très facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20140921_15292_w150h150c1cx1224cy1224.webp', 'https:__assets.afcdn.com_recipe_20100120_6321_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20130501_5135_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"16","Béchamel rapide et facile","très facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20221013_136174_w150h150c1cx3072cy1728cxb6144cyb3456.webp', 'https:__assets.afcdn.com_recipe_20180628_80001_w150h150c1cx1787cy2383cxb3575cyb4767.webp', 'https:__assets.afcdn.com_recipe_20150909_46783_w150h150c1cx1872cy2808.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"17","Filet mignon en croûte","très facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20201001_114522_w150h150c1cx157cy157cxb314cyb314.webp', 'https:__assets.afcdn.com_recipe_20170615_69644_w150h150c1cx2000cy3000.webp', 'https:__assets.afcdn.com_recipe_20131108_55853_w150h150c1cx300cy200.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"18","Crumble simple","très facile","moyen","6 personnes","['https:__assets.afcdn.com_recipe_20160404_56530_w150h150c1cx1128cy2275cxb2151cyb3000.webp', 'https:__assets.afcdn.com_recipe_20180713_81159_w150h150c1cx1944cy2592cxb3888cyb5184.webp', 'https:__assets.afcdn.com_recipe_20100120_49296_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"19","Pancakes faciles et rapides","très facile","bon marché","2 personnes","['https:__assets.afcdn.com_recipe_20211222_126211_w150h150c1cx1075cy827cxb2119cyb1415.webp', 'https:__assets.afcdn.com_recipe_20221013_136180_w150h150c1cx960cy540cxb1920cyb1080.webp', 'https:__assets.afcdn.com_recipe_20201030_115125_w150h150c1cx2080cy1560cxb4160cyb3120.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"20","Pain d'épices","facile","moyen","6 personnes","['https:__assets.afcdn.com_recipe_20221011_135945_w150h150c1cx1060cy707cxt115cyt94cxb2045cyb1326.webp', 'https:__assets.afcdn.com_recipe_20220929_135546_w150h150c1cx1000cy918cxb2121cyb1335.webp', 'https:__assets.afcdn.com_recipe_20181219_84929_w150h150c1cx4330cy2886cxb8650cyb5762.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"21","Tarte aux pommes à l'Alsacienne","très facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20230127_139908_w150h150c1cx1059cy707cxb2119cyb1414.webp', 'https:__assets.afcdn.com_recipe_20191119_102677_w150h150c1cx4330cy2886cxb8660cyb5773.webp', 'https:__assets.afcdn.com_recipe_20160922_65402_w150h150c1cx2000cy3000.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"22","Sauté de veau au chorizo","très facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20130627_35195_w150h150c1cx1265cy2186cxb2362cyb3543.webp', 'https:__assets.afcdn.com_recipe_20130122_35196_w150h150c1cx192cy256.webp', 'https:__assets.afcdn.com_recipe_20140225_31460_w150h150c1cx1280cy960.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"23","Cake salé au jambon et aux olives","facile","moyen","6 personnes","['https:__assets.afcdn.com_recipe_20130206_48875_w150h150c1cx862cy997.webp', 'https:__assets.afcdn.com_recipe_20100120_42671_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20140126_45227_w150h150c1cx768cy1028.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"24","Hachis Parmentier","facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20221012_136013_w150h150c1cx727cy1355cxb1462cyb2051.webp', 'https:__assets.afcdn.com_recipe_20201228_116812_w150h150c1cx997cy751cxb1995cyb1502.webp', 'https:__assets.afcdn.com_recipe_20170614_69758_w150h150c1cx2000cy3000.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"25","Béchamel","très facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20130823_62932_w150h150c1cx1411cy3438cxb3840cyb5087.webp', 'https:__assets.afcdn.com_recipe_20180710_80586_w150h150c1cx1944cy2592cxb3888cyb5184.webp', 'https:__assets.afcdn.com_recipe_20140409_65469_w150h150c1cx1632cy1224.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"26","Gratin Dauphinois","facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20201217_116563_w150h150c1cx1116cy671cxb2232cyb1342.webp', 'https:__assets.afcdn.com_recipe_20160401_5313_w150h150c1cx2088cy1412.webp', 'https:__assets.afcdn.com_recipe_20180622_79932_w150h150c1cx1944cy2592cxb3888cyb5184.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"27","Boeuf Bourguignon rapide","très facile","moyen","6 personnes","['https:__assets.afcdn.com_recipe_20131009_56293_w150h150c1cx1872cy2808.webp', 'https:__assets.afcdn.com_recipe_20230619_143545_w150h150c1cx3072cy1728cxb6144cyb3456.webp', 'https:__assets.afcdn.com_recipe_20100120_50011_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"28","Petits croissants au saumon fumé (toast apéritif)","très facile","moyen","16 petits fours","['https:__assets.afcdn.com_recipe_20230630_143922_w150h150c1cx960cy540cxb1920cyb1080.webp', 'https:__assets.afcdn.com_recipe_20170623_69321_w150h150c1cx2000cy3000.webp', 'https:__assets.afcdn.com_recipe_20130122_5806_w150h150c1cx989cy750.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"29","Cake au chocolat et amandes en poudre","très facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20160404_27170_w150h150c1cx1500cy971.webp', 'https:__assets.afcdn.com_recipe_20190907_97941_w150h150c1cx864cy735cxb1728cyb1471.webp', 'https:__assets.afcdn.com_recipe_20190527_93035_w150h150c1cx1512cy1872cxb3024cyb3744.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"30","Blinis faciles maison","très facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20160527_26170_w150h150c1cx3000cy2000.webp', 'https:__assets.afcdn.com_recipe_20160527_26169_w150h150c1cx2000cy3000.webp', 'https:__assets.afcdn.com_recipe_20160401_26167_w150h150c1cx2105cy2105.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"31","Panna cotta","très facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20221026_136708_w150h150c1cx869cy693cxb2121cyb1414.webp', 'https:__assets.afcdn.com_recipe_20170905_71705_w150h150c1cx1411cy4176cxb3999cyb6000.webp', 'https:__assets.afcdn.com_recipe_20120831_37557_w150h150c1cx192cy256.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"32","Osso bucco de veau","facile","moyen","4 personnes","['https:__assets.afcdn.com_recipe_20130205_63559_w150h150c1cx966cy1491cxb1920cyb2272.webp', 'https:__assets.afcdn.com_recipe_20110511_67202_w150h150c1cx192cy256.webp', 'https:__assets.afcdn.com_recipe_20160124_61014_w150h150c1cx968cy1296.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"33","Filet mignon de porc au Maroilles","très facile","moyen","6 personnes","['https:__assets.afcdn.com_recipe_20130304_1669_w150h150c1cx1000cy1312.webp', 'https:__assets.afcdn.com_recipe_20140212_5240_w150h150c1cx1296cy864.webp', 'https:__assets.afcdn.com_recipe_20140814_1670_w150h150c1cx768cy1024.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"34","Chili con carne facile","très facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20211222_126214_w150h150c1cx1124cy721cxb2119cyb1415.webp', 'https:__assets.afcdn.com_recipe_20221019_136415_w150h150c1cx3072cy1728cxb6144cyb3456.webp', 'https:__assets.afcdn.com_recipe_20161116_23198_w150h150c1cx1825cy2739cxb3651cyb5478.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"35","Pommes de terres sautées","très facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20221007_135810_w150h150c1cx921cy936cxb2120cyb1414.webp', 'https:__assets.afcdn.com_recipe_20180621_79737_w150h150c1cx1944cy2592cxb3888cyb5184.webp', 'https:__assets.afcdn.com_recipe_20110517_44536_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"36","Le trianon ou royal de Nadine","moyenne","bon marché","8 personnes","['https:__assets.afcdn.com_recipe_20170623_69271_w150h150c1cx2000cy3000.webp', 'https:__assets.afcdn.com_recipe_20170315_2466_w150h150c1cx1872cy2808.webp', 'https:__assets.afcdn.com_recipe_20170623_69287_w150h150c1cx3000cy2000.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"37","Rôti de porc de Dijon","facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"38","Filet mignon de porc à la moutarde","très facile","moyen","4 personnes","['https:__assets.afcdn.com_recipe_20171004_72705_w150h150c1cx2000cy3000cxb4000cyb6000.webp', 'https:__assets.afcdn.com_recipe_20160405_8964_w150h150c1cx1500cy1000.webp', 'https:__assets.afcdn.com_recipe_20111204_10840_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
