"idRecipe","nameRecipe","difficulte","prix","quantite","image"
"177","Risotto aux asperges fraîches","très facile","moyen","4 personnes","['https:__assets.afcdn.com_recipe_20130328_1183_w150h150c1cx1000cy1504.webp', 'https:__assets.afcdn.com_recipe_20130526_37260_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20130501_23069_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"178","Tiramisu (Italie)","facile","bon marché","8 personnes","['https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"179","Charlotte facile poire chocolat","très facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20201001_114535_w150h150c1cx2016cy1512cxb4032cyb3024.webp', 'https:__assets.afcdn.com_recipe_20170130_7622_w150h150c1cx270cy443cxb539cyb960.webp', 'https:__assets.afcdn.com_recipe_20131224_5767_w150h150c1cx480cy360.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"180","Fondant au chocolat","très facile","bon marché","8 personnes","['https:__assets.afcdn.com_recipe_20230620_143629_w150h150c1cx3072cy1728cxb6144cyb3456.webp', 'https:__assets.afcdn.com_recipe_20221011_135944_w150h150c1cx707cy1060cxb1414cyb1945.webp', 'https:__assets.afcdn.com_recipe_20220929_135540_w150h150c1cx1560cy854cxb2121cyb1414.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"181","Chouquettes","très facile","bon marché","45 chouquettes","['https:__assets.afcdn.com_recipe_20180413_78572_w150h150c1cx1250cy1875cxb2500cyb3750.webp', 'https:__assets.afcdn.com_recipe_20131119_38897_w150h150c1cx300cy200.webp', 'https:__assets.afcdn.com_recipe_20130315_22998_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"182","Mousse au chocolat facile","très facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20210311_118509_w150h150c1cx300cy533cxb600cyb1066.webp', 'https:__assets.afcdn.com_recipe_20160624_25620_w150h150c1cx1500cy2248.webp', 'https:__assets.afcdn.com_recipe_20160624_25618_w150h150c1cx1500cy2248.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"183","Flan pâtissier traditionnel","très facile","bon marché","8 personnes","['https:__assets.afcdn.com_recipe_20160509_38230_w150h150c1cx2000cy3000.webp', 'https:__assets.afcdn.com_recipe_20160509_38232_w150h150c1cx1959cy2938.webp', 'https:__assets.afcdn.com_recipe_20221013_136185_w150h150c1cx3227cy2109cxt491cyt281cxb6144cyb3456.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"184","Rougail saucisse","très facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20200219_107902_w150h150c1cx4330cy2886cxb8660cyb5773.webp', 'https:__assets.afcdn.com_recipe_20180621_79718_w150h150c1cx1944cy2592cxb3888cyb5184.webp', 'https:__assets.afcdn.com_recipe_20140123_46814_w150h150c1cx1024cy768.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"185","Gateau moelleux marbré vanille chocolat","très facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"186","Tarte amandine aux poires","très facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20201228_116793_w150h150c1cx1060cy707cxb2121cyb1414.webp', 'https:__assets.afcdn.com_recipe_20180628_79974_w150h150c1cx1944cy2592cxb3888cyb5184.webp', 'https:__assets.afcdn.com_recipe_20130308_17542_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"187","Madeleines au citron","facile","bon marché","18 madeleines","['https:__assets.afcdn.com_recipe_20230621_143706_w150h150c1cx960cy540cxb1920cyb1080.webp', 'https:__assets.afcdn.com_recipe_20130218_9640_w150h150c1cx654cy790.webp', 'https:__assets.afcdn.com_recipe_20131113_3961_w150h150c1cx1632cy1224.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"188","Clafoutis aux cerises express","très facile","moyen","8 personnes","['https:__assets.afcdn.com_recipe_20180126_77154_w150h150c1cx2808cy1872cxb5616cyb3744.webp', 'https:__assets.afcdn.com_recipe_20180705_80186_w150h150c1cx1944cy2592cxb3888cyb5184.webp', 'https:__assets.afcdn.com_recipe_20130603_56783_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"189","Risotto au poulet et chorizo","très facile","moyen","6 personnes","['https:__assets.afcdn.com_recipe_20230621_143663_w150h150c1cx960cy540cxb1920cyb1080.webp', 'https:__assets.afcdn.com_recipe_20160718_27992_w150h150c1cx1872cy2808.webp', 'https:__assets.afcdn.com_recipe_20100120_28920_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"190","Génoise légère de ma grand-mère","très facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20230620_143636_w150h150c1cx2880cy1920cxb5760cyb3840.webp', 'https:__assets.afcdn.com_recipe_20180827_81955_w150h150c1cx2808cy1872cxb5616cyb3744.webp', 'https:__assets.afcdn.com_recipe_20130304_51901_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"191","Cassoulet à ma façon","facile","moyen","8 personnes","['https:__assets.afcdn.com_recipe_20130823_61472_w150h150c1cx2808cy1872.webp', 'https:__assets.afcdn.com_recipe_20180628_80066_w150h150c1cx1944cy2592cxb3888cyb5184.webp', 'https:__assets.afcdn.com_recipe_20131222_53706_w150h150c1cx1296cy968.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"192","Souris d'agneau caramélisées","facile","moyen","10 personnes","['https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"193","Velouté de potiron","très facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20221010_135900_w150h150c1cx1160cy863cxb2121cyb1414.webp', 'https:__assets.afcdn.com_recipe_20130924_60726_w150h150c1cx1911cy1274.webp', 'https:__assets.afcdn.com_recipe_20180705_80319_w150h150c1cx1944cy2592cxb3888cyb5184.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"194","Pancake de Nawal","facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"195","Truffe géante de la mère Anne","très facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"196","Pavé de saumon sur son lit de poireaux","facile","moyen","4 personnes","['https:__assets.afcdn.com_recipe_20160404_808_w150h150c1cx1500cy1000.webp', 'https:__assets.afcdn.com_recipe_20131014_2968_w150h150c1cx1776cy1000.webp', 'https:__assets.afcdn.com_recipe_20181017_82808_w150h150c1cx1944cy2592cxb3888cyb5184.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"197","Verrines de poires au foie gras","très facile","assez cher","2 verrines","['https:__assets.afcdn.com_recipe_20170402_47909_w150h150c1cx1512cy1786.webp', 'https:__assets.afcdn.com_recipe_20130122_55109_w150h150c1cx984cy846.webp', 'https:__assets.afcdn.com_recipe_20100120_44112_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"198","Gâteau moelleux au mascarpone","très facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20200306_108886_w150h150c1cx540cy960cxb1080cyb1920.webp', 'https:__assets.afcdn.com_recipe_20200306_108887_w150h150c1cx960cy540cxb1920cyb1080.webp', 'https:__assets.afcdn.com_recipe_20130627_63641_w150h150c1cx1250cy1875.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"199","Tarte à la rhubarbe meringuée alsacienne","moyenne","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20130430_50540_w150h150c1cx192cy256.webp', 'https:__assets.afcdn.com_recipe_20130505_43936_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100120_44133_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"200","Rôti de veau en cocotte aux champignons","très facile","moyen","6 personnes","['https:__assets.afcdn.com_recipe_20160405_60711_w150h150c1cx1500cy1000.webp', 'https:__assets.afcdn.com_recipe_20180712_80916_w150h150c1cx1810cy2413cxb3620cyb4827.webp', 'https:__assets.afcdn.com_recipe_20100120_52667_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"201","Pâte à crêpes simple","très facile","bon marché","20 crêpes","['https:__assets.afcdn.com_recipe_20130910_5819_w150h150c1cx1728cy2392.webp', 'https:__assets.afcdn.com_recipe_20180711_80750_w150h150c1cx1944cy2592cxb3888cyb5184.webp', 'https:__assets.afcdn.com_recipe_20140410_11513_w150h150c1cx1296cy968.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"202","Cookies maison","facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20190529_93153_w150h150c1cx2220cy1728cxb4441cyb3456.webp', 'https:__assets.afcdn.com_recipe_20221013_136153_w150h150c1cx960cy540cxb1920cyb1080.webp', 'https:__assets.afcdn.com_recipe_20190529_93149_w150h150c1cx1762cy1175cxb3525cyb2350.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"203","Brownies","facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20161114_26634_w150h150c1cx2736cy1824.webp', 'https:__assets.afcdn.com_recipe_20221013_136176_w150h150c1cx3072cy1728cxb6144cyb3456.webp', 'https:__assets.afcdn.com_recipe_20160331_26636_w150h150c1cx1500cy1000.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"204","Cheesecake inratable","très facile","bon marché","8 personnes","['https:__assets.afcdn.com_recipe_20221209_138327_w150h150c1cx2143cy1756cxb4372cyb3846.webp', 'https:__assets.afcdn.com_recipe_20160331_44172_w150h150c1cx1500cy1000.webp', 'https:__assets.afcdn.com_recipe_20170905_71706_w150h150c1cx2000cy3000cxb4000cyb6000.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"205","Gaufres à la crème fraîche","facile","bon marché","20 gaufres environ","['https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"206","Poulet au curry lait de coco et noix de cajou","très facile","bon marché","3 personnes","['https:__assets.afcdn.com_recipe_20170614_69440_w150h150c1cx1999cy2776cxb4000cyb6000.webp', 'https:__assets.afcdn.com_recipe_20140306_36911_w150h150c1cx1365cy1250cxb2730cyb2500.webp', 'https:__assets.afcdn.com_recipe_20100120_45931_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"207","Frites light au four","très facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20171218_76121_w150h150c1cx1872cy2808cxb3744cyb5616.webp', 'https:__assets.afcdn.com_recipe_20171030_74067_w150h150c1cx1872cy2808cxb3744cyb5616.webp', 'https:__assets.afcdn.com_recipe_20160425_63416_w150h150c1cx2746cy1830.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"208","Velouté de carottes au cumin","très facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20230620_143606_w150h150c1cx3072cy1728cxb6144cyb3456.webp', 'https:__assets.afcdn.com_recipe_20160325_48385_w150h150c1cx1500cy1000.webp', 'https:__assets.afcdn.com_recipe_20100120_42684_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"209","Beignets de pomme de mon papi","facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20230619_143543_w150h150c1cx3072cy1728cxb6144cyb3456.webp', 'https:__assets.afcdn.com_recipe_20180117_76858_w150h150c1cx2736cy1824cxb5472cyb3648.webp', 'https:__assets.afcdn.com_recipe_20140323_47910_w150h150c1cx480cy360.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"210","Bourguignon délicieux","facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"211","Filet mignon de porc en croûte tout simple","très facile","moyen","6 personnes","['https:__assets.afcdn.com_recipe_20200220_107921_w150h150c1cx2081cy4050cxb4160cyb6240.webp', 'https:__assets.afcdn.com_recipe_20181017_82896_w150h150c1cx1944cy2592cxb3888cyb5184.webp', 'https:__assets.afcdn.com_recipe_20111024_17094_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"212","Gigot de 7 heures : la recette incontournable","facile","moyen","10 personnes","['https:__assets.afcdn.com_recipe_20160404_24205_w150h150c1cx1500cy1009.webp', 'https:__assets.afcdn.com_recipe_20180713_81161_w150h150c1cx1944cy2592cxb3888cyb5184.webp', 'https:__assets.afcdn.com_recipe_20141223_18676_w150h150c1cx320cy184.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"213","Cuisse de dinde à la dijonnaise","très facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20200831_113680_w150h150c1cx2613cy1742cxb5226cyb3484.webp', 'https:__assets.afcdn.com_recipe_20180209_77491_w150h150c1cx2779cy1853cxb5559cyb3706.webp', 'https:__assets.afcdn.com_recipe_20200831_113681_w150h150c1cx1920cy2880cxb3840cyb5760.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"214","Couscous sans couscoussier","très facile","bon marché","8 personnes","['https:__assets.afcdn.com_recipe_20200831_113575_w150h150c1cx960cy540cxb1920cyb1080.webp', 'https:__assets.afcdn.com_recipe_20200831_113576_w150h150c1cx540cy810cxb1080cyb1620.webp', 'https:__assets.afcdn.com_recipe_20160405_34890_w150h150c1cx1500cy1000.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"215","Tartiflette facile","facile","moyen","8 personnes","['https:__assets.afcdn.com_recipe_20200408_109518_w150h150c1cx1486cy2142cxb2973cyb4284.webp', 'https:__assets.afcdn.com_recipe_20180628_80043_w150h150c1cx2445cy1833cxb4890cyb3667.webp', 'https:__assets.afcdn.com_recipe_20160405_15551_w150h150c1cx1500cy1096.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"216","Soupe à la courgette et au curry","facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20181017_82783_w150h150c1cx1944cy2592cxb3888cyb5184.webp', 'https:__assets.afcdn.com_recipe_20160404_63265_w150h150c1cx1500cy1000.webp', 'https:__assets.afcdn.com_recipe_20140402_58767_w150h150c1cx320cy480.webp', 'https:__assets.afcdn.com_recipe_20100120_58726_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"217","Verrine avocat et saumon fumé","très facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20210909_121890_w150h150c1cx1448cy763cxb2121cyb1414.webp', 'https:__assets.afcdn.com_recipe_20130122_36156_w150h150c1cx824cy1072.webp', 'https:__assets.afcdn.com_recipe_20140808_43564_w150h150c1cx360cy480.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"218","Tarte crumble aux pommes","facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"219","Carrot Cake : la vraie recette","très facile","bon marché","8 personnes","['https:__assets.afcdn.com_recipe_20221014_136222_w150h150c1cx2941cy1875cxb5616cyb3743.webp', 'https:__assets.afcdn.com_recipe_20181017_82931_w150h150c1cx1944cy2592cxb3887cyb5184.webp', 'https:__assets.afcdn.com_recipe_20181017_82744_w150h150c1cx1944cy2592cxb3888cyb5184.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"220","Poulet au four simple et savoureux","facile","moyen","8 personnes","['https:__assets.afcdn.com_recipe_20200408_109519_w150h150c1cx1933cy2466cxb3744cyb5616.webp', 'https:__assets.afcdn.com_recipe_20221013_136165_w150h150c1cx3072cy1728cxb6144cyb3456.webp', 'https:__assets.afcdn.com_recipe_20180208_77447_w150h150c1cx1550cy1154cxb3100cyb2309.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"221","Pâte brisée au mixer","très facile","bon marché","1 pâte","['https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"222","Biscuits sablés aux noisettes","très facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"223","Cake salé de base avec garnitures","facile","bon marché","8 personnes","['https:__assets.afcdn.com_recipe_20190529_93206_w150h150c1cx2144cy1424cxb4288cyb2848.webp', 'https:__assets.afcdn.com_recipe_20190529_93203_w150h150c1cx1728cy2404cxb3456cyb4808.webp', 'https:__assets.afcdn.com_recipe_20190529_93204_w150h150c1cx2464cy1632cxb4928cyb3264.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"224","Ragoût de lentilles vertes","très facile","bon marché","8 personnes","['https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"225","Velouté de courgettes","très facile","bon marché","2 personnes","['https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"226","Blanquette de veau (de Marielle)","très facile","moyen","4 personnes","['https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"227","Rôti de porc : recette savoureuse","très facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20160331_66959_w150h150c1cx1500cy1000.webp', 'https:__assets.afcdn.com_recipe_20130122_66960_w150h150c1cx750cy854.webp', 'https:__assets.afcdn.com_recipe_20120916_66881_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"228","Gâteau au chocolat (seulement pour les enfants!)","très facile","bon marché","8 personnes","['https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"229","Roulade de saumon fumé aux asperges, sauce aux crevettes et au chèvre frais","très facile","moyen","4 personnes","['https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"230","Gâteau au yaourt simple","très facile","bon marché","8 personnes","['https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"231","Cake aux fruits confits maison","facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20200928_114368_w150h150c1cx1920cy2880cxb3840cyb5760.webp', 'https:__assets.afcdn.com_recipe_20200928_114367_w150h150c1cx2880cy1920cxb5760cyb3840.webp', 'https:__assets.afcdn.com_recipe_20180208_77430_w150h150c1cx1872cy2808cxb3744cyb5616.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"232","Soupe veloutée à la carotte","très facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"233","Gratin de blettes à la provençale","très facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"234","Moules au roquefort","facile","bon marché","4 bons appétits","['https:__assets.afcdn.com_recipe_20200503_110321_w150h150c1cx960cy540cxb1920cyb1080.webp', 'https:__assets.afcdn.com_recipe_20200503_110322_w150h150c1cx540cy960cxb1080cyb1920.webp', 'https:__assets.afcdn.com_recipe_20180208_77436_w150h150c1cx2784cy1856cxb5568cyb3712.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"235","Pâte à pizza épaisse et moelleuse","facile","bon marché","4 personnes","['https:__assets.afcdn.com_recipe_20160531_11743_w150h150c1cx2000cy3000.webp', 'https:__assets.afcdn.com_recipe_20221013_136154_w150h150c1cx3072cy1728cxb6144cyb3456.webp', 'https:__assets.afcdn.com_recipe_20160531_11741_w150h150c1cx2000cy3000.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"236","Lasagnes aux courgettes et au chèvre","très facile","bon marché","2 personnes","['https:__assets.afcdn.com_recipe_20170607_38242_w150h150c1cx2000cy3000.webp', 'https:__assets.afcdn.com_recipe_20170607_38243_w150h150c1cx2000cy3000.webp', 'https:__assets.afcdn.com_recipe_20131118_38241_w150h150c1cx1250cy1875.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"237","Gâteau chocolat ultra rapide (micro-ondes)","très facile","bon marché","8 personnes","['https:__assets.afcdn.com_recipe_20130627_31106_w150h150c1cx1000cy1052.webp', 'https:__assets.afcdn.com_recipe_20120908_60554_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20130115_24297_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"238","Tarte abricot amandine","facile","bon marché","8 personnes","['https:__assets.afcdn.com_recipe_20170529_5707_w150h150c1cx2000cy3000.webp', 'https:__assets.afcdn.com_recipe_20170529_5708_w150h150c1cx3000cy2000.webp', 'https:__assets.afcdn.com_recipe_20100120_1619_w150h150c1cx256cy192.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
"239","Tarte au chocolat noir","très facile","bon marché","6 personnes","['https:__assets.afcdn.com_recipe_20140814_46020_w150h150c1cx900cy1350.webp', 'https:__assets.afcdn.com_recipe_20191128_103127_w150h150c1cx2880cy1920cxb5760cyb3840.webp', 'https:__assets.afcdn.com_recipe_20150313_56557_w150h150c1cx2080cy1170.webp', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-04-05_h150.jpg', 'https:__assets.afcdn.com_recipe_20100101_magazine-2020-05-05_h150.jpg']"
